refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_developmental_stage	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_processor_id	refinebio_processor_name	refinebio_processor_version	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment
SRR4478683	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 42 Control Pituitary 1414	
SRR4478684	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 42 Control Pituitary 1415	
SRR4478685	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 42 Control Pituitary 1416	
SRR4478686	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 42 Control Pituitary 1417	
SRR4478687	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 42 Heat Stress Pituitary 1418	
SRR4478688	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 42 Control Pituitary 1419	
SRR4478689	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 42 Control Pituitary 1420	
SRR4478690	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 26 2 Hour Heat Stress Pituitary 1431	
SRR4478691	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 22 Control Pituitary 1432	
SRR4478692	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 42 Heat Stress Pituitary 1433	
SRR4478693	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 42 Heat Stress Pituitary 1434	
SRR4478694	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 42 Heat Stress Pituitary 1435	
SRR4478695	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 42 Heat Stress Pituitary 1436	
SRR4478696	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 22 Control Pituitary 1437	
SRR4478697	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 42 Heat Stress Pituitary 1438	
SRR4478698	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 26 2 Hour Heat Stress Pituitary 1510	
SRR4478699	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 26 2 Hour Heat Stress Pituitary 1511	
SRR4478700	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 26 2 Hour Control Pituitary 1512	
SRR4478701	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 26 2 Hour Control Pituitary 1513	
SRR4478702	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 26 2 Hour Control Pituitary 1514	
SRR4478703	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 40 Week Heat Stress Pituitary 1515	
SRR4478704	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 40 Week Control Pituitary 1516	
SRR4478705	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 22 Heat Stress Pituitary 1517	
SRR4478706	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 22 Heat Stress Pituitary 1519	
SRR4478707	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 22 Heat Stress Pituitary 1520	
SRR4478708	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 22 Heat Stress Pituitary 1521	
SRR4478709	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 22 Heat Stress Pituitary 1522	
SRR4478710	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 22 Control Pituitary 1523	
SRR4478711	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 22 Control Pituitary 1524	
SRR4478712	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 22 Control Pituitary 1525	
SRR4478714	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 22 Heat Stress Pituitary 1549	
SRR4478715	SRP092257								GALLUS_GALLUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	418	Tximport	v1.26.11-hotfix				SRA	pituitary	pituitary gland tissue		Day 22 Control Pituitary 1550	
