Gene,Log2FoldChange,p_value,adjusted_p_value
7035,0.057440568822151726,0.0004332368634754151,0.014099267609602643
18389,0.057288198964324966,0.004570561547037201,0.04616982823858569
15973,0.05651749554977096,0.003311438778519422,0.03950227068628615
23083,0.05650316162809525,0.0009696926578299188,0.017977667730748787
8722,0.05582970787950814,0.0051920966545029755,0.049424176265280194
19689,0.05579638482946325,0.0025445343127977983,0.03410333186214679
20006,0.05578312879554447,0.00500520542626812,0.048487927566972414
15446,0.055707839189359495,0.0007217338981580801,0.014404505141332251
20113,0.055686501397309116,0.002889909798485967,0.03650500246056465
19263,0.05563063215131374,0.0046293916576121506,0.04646354094125217
17718,0.05560600380062269,0.0032970984975532335,0.039440103845814534
16520,0.055279295924731596,0.0022429279135001206,0.031511883046055254
19329,0.05509119571797544,0.00480630291042506,0.04730472598129617
19659,0.05496018186826423,0.0012226283393417287,0.021366090485416808
20058,0.05484842153433585,0.0010558172583510234,0.01917987667948168
14093,0.054735303590160544,2.5978468268982854e-06,0.004986833237617333
22342,0.05466233380371577,0.0005188232769871382,0.014099267609602643
17662,0.054509647045901936,0.0031321512419340385,0.038301460115248716
22394,0.054508074904598205,0.000287040817082872,0.014099267609602643
20096,0.05426389005332327,0.0031840445748690036,0.03854114807409894
11045,0.05403397698882717,0.0026872950270956505,0.03528834913926856
23563,0.053844516977915244,0.002415122935498385,0.032979968232463644
23284,0.05376814448879441,0.000971993147785808,0.017999593822845023
9908,0.05364515492424565,0.0010842312015752198,0.019562055012547614
9504,0.05349142936806157,0.0010540087446986664,0.019161606044141025
3972,0.0534818844555528,0.0008499330512416477,0.016334864680465484
18206,0.053257401675248,0.0013171930081815355,0.02229886319524344
10164,0.05281757186729373,0.0036067151129793792,0.041153102173431065
8006,0.05271727040845482,0.001533336633688731,0.024663575098483832
20601,0.052632566211829615,0.0013255321807201634,0.02239239430558408
15925,0.052630410177647635,0.0030580351798417133,0.03760339420137064
23715,0.05258596513415479,0.0015894477717913022,0.025166365147658833
16284,0.052539843133404256,0.0002805836544751731,0.014099267609602643
18958,0.05246700986693634,0.0006713840961833125,0.014099267609602643
13259,0.05233049558322978,0.0011491033890644066,0.020457470566978067
14480,0.05221992536628117,0.004671374015896701,0.04666786193676339
10114,0.05216427133252377,0.0026561495932474377,0.03501338826723528
22582,0.051813376516363537,0.00326757978922683,0.03923396859599821
9256,0.05167018656117045,0.005208024469655767,0.04946897894575533
16374,0.05064928780476411,0.00503313713841505,0.04865977460265988
7726,0.05055797219439295,0.0035174366759200652,0.04063772368802847
18939,0.050254935756057544,0.0029274694029253505,0.036739864029815626
21850,0.05020446886852612,0.0018407877757955985,0.02780987608116515
6695,0.049964694036374935,0.0002623091221565367,0.014099267609602643
16362,0.04977761982342594,0.005331561237765671,0.04986848226703235
22109,0.04974247855251064,0.00207389042345724,0.03000228145934807
22172,0.04964490515966497,0.000668510203780142,0.014099267609602643
10588,0.049594458430309615,0.0008659250498687199,0.01654894390741901
22403,0.04940881045348025,0.002122783280453689,0.030396422858086115
17074,0.04919993882596975,0.0013620009865661607,0.02286284356493267
12740,0.049053233287287085,0.0033519749822269723,0.03978534756199086
11940,0.04887883158984598,0.0021069608336852326,0.03026752830291597
17633,0.04886223076124312,0.000586749017522225,0.014099267609602643
20178,0.04849870701356706,0.004494384174091877,0.045826975752060274
21549,0.047770278756914177,0.0020967778186136237,0.030250413111188555
17028,0.04772148127215105,0.0006855164138521437,0.014099267609602643
17560,0.0476721214322643,0.0002150194609103378,0.014099267609602643
23060,0.0476061931702187,0.0028242747344964848,0.036167080425123975
8983,0.04756466661243166,0.0015314507785886286,0.024649851709312585
3740,0.04754949679108939,0.003058618029258351,0.03760339420137064
20906,0.047455720461783556,0.0025152829010419756,0.03384430825697405
17347,0.04723615470716924,0.001470379779706824,0.02405617912378471
12310,0.047176692144691244,0.004039347955570547,0.04370772243856253
22960,0.04716228438934763,0.0034376023562429714,0.040302341966365285
19597,0.046979453991108984,0.005283483574523219,0.04973074547414651
15631,0.04691317825842855,0.0018173659642202308,0.027560689686109856
19462,0.046828515305573123,0.0026434649116671054,0.03495817586786361
975,0.04669850429838318,0.0005687757077931459,0.014099267609602643
20533,0.046614479005416494,0.002729841379629267,0.03554096365807074
18019,0.046612799218303365,0.002836859723263123,0.03625667739175627
20504,0.04651146711051879,0.00013896538706517238,0.014099267609602643
18792,0.04627233886798672,0.0017591781688484096,0.026969545851259817
22116,0.04624187334002092,0.0043387994711101665,0.04526864941080304
9928,0.04613326169251221,0.0012161856172393836,0.021314501236052927
22925,0.04576790637633385,0.00448279140487385,0.04579802823671527
22388,0.045744856495517995,0.0026587266682873024,0.03502417526049553
17464,0.04553469636806271,0.0010268407733360428,0.01875339652603775
10932,0.04529327064005027,0.002305923853323382,0.032047516499545695
9489,0.045147492985545865,0.000862390577143472,0.016521077910445166
14844,0.045031614344181334,0.004508902142025006,0.045899484317249425
23740,0.0448241970282163,0.0027567328637085253,0.035735420324371055
9935,0.044761313964202805,0.0003867817573496669,0.014099267609602643
8727,0.044679116318344876,0.0039002320697794127,0.042942130768281635
22132,0.0445108660349813,0.0032693479242363534,0.039235462519618784
20376,0.04442220829090099,0.0006141779391102423,0.014099267609602643
16893,0.04435951890066344,0.0020529829100953286,0.02986270692503077
10030,0.04433319220864286,7.106263218422225e-05,0.014099267609602643
9319,0.04421663910955652,0.0002572049107400481,0.014099267609602643
20412,0.04418220806871516,0.005132384386297437,0.04907805519281793
